&a / °	I1 / %
-2.026	18.4
-2.031	21.6
-2.037	25.2
-2.042	28.4
-2.047	30.8
-2.053	32.0
-2.058	32.8
-2.063	34.0
-2.069	35.2
-2.074	35.6
-2.079	34.0
-2.085	31.2
-2.090	28.4
-2.095	26.0
-2.101	24.0
-2.106	21.6
-2.111	18.4
-2.117	15.2
-2.122	12.4
-2.127	10.4
-2.133	8.8
-2.138	7.6
-2.143	7.2
-2.149	6.8
-2.154	6.8
-2.159	6.8
-2.165	6.8
-2.170	7.2
-2.175	7.6
-2.181	8.4
-2.186	9.6
-2.191	11.2
-2.197	13.2
-2.202	15.6
-2.207	18.4
-2.213	21.2
-2.218	24.4
-2.223	27.2
-2.229	30.0
-2.234	32.0
-2.240	33.2
-2.245	33.6
-2.250	32.8
-2.256	31.2
-2.261	28.8
-2.266	26.8
-2.272	24.8
-2.277	22.4
-2.282	20.0
-2.288	16.8
-2.293	13.6
-2.298	11.2
-2.304	9.2
-2.309	8.0
-2.314	7.2
-2.320	6.8
-2.325	6.4
-2.330	6.4
-2.336	6.8
-2.341	7.2
-2.346	8.0
-2.352	8.8
-2.357	10.0
-2.362	11.6
-2.368	14.0
-2.373	16.8
-2.378	20.0
-2.384	23.6
-2.389	26.8
-2.394	29.6
-2.400	31.6
-2.405	32.8
-2.410	33.6
-2.416	33.2
-2.421	31.6
-2.426	28.8
-2.432	26.0
-2.437	23.6
-2.442	20.8
-2.448	17.6
-2.453	14.4
-2.458	11.6
-2.464	9.6
-2.469	8.4
-2.474	7.2
-2.480	6.8
-2.485	6.8
-2.490	6.8
-2.496	7.2
-2.501	7.6
-2.506	8.4
-2.512	9.6
-2.517	11.2
-2.522	13.2
-2.528	16.0
-2.533	19.2
-2.538	22.8
-2.544	26.0
-2.549	28.8
-2.554	30.4
-2.560	31.6
-2.565	31.6
-2.570	31.2
-2.576	29.6
-2.581	26.8
-2.586	24.0
-2.592	21.2
-2.597	18.4
-2.602	15.2
-2.608	12.4
-2.613	10.0
-2.619	8.4
-2.624	7.6
-2.629	6.8
-2.635	6.8
-2.640	6.8
-2.645	7.2
-2.651	8.0
-2.656	9.2
-2.661	10.8
-2.667	12.8
-2.672	14.8
-2.677	17.6
-2.683	20.0
-2.688	22.4
-2.693	24.4
-2.699	26.4
-2.704	28.4
-2.709	29.6
-2.715	29.6
-2.720	28.0
-2.725	25.2
-2.731	22.4
-2.736	18.4
-2.741	16.4
-2.747	14.0
-2.752	11.6
-2.757	9.6
-2.763	8.0
-2.768	7.2
-2.773	6.8
-2.779	6.8
-2.784	7.2
-2.789	8.0
-2.795	8.8
-2.800	10.4
-2.805	12.4
-2.811	14.8
-2.816	17.6
-2.821	20.4
-2.827	23.6
-2.832	26.4
-2.837	28.0
-2.843	28.8
-2.848	28.8
-2.853	28.0
-2.859	26.0
-2.864	23.2
-2.869	20.4
-2.875	17.6
-2.880	14.8
-2.885	12.0
-2.891	10.0
-2.896	8.4
-2.901	7.2
-2.907	6.4
-2.912	6.4
-2.917	6.8
-2.923	7.6
-2.928	8.8
-2.933	10.4
-2.939	12.4
-2.944	14.8
-2.949	18.0
-2.955	21.2
-2.960	24.0
-2.965	26.4
-2.971	28.0
-2.976	28.4
-2.981	27.6
-2.987	26.0
-2.992	23.6
-2.997	20.8
-3.003	18.0
-3.008	15.2
-3.013	12.8
-3.019	10.4
-3.024	8.4
-3.029	7.2
-3.035	6.8
-3.040	6.8
-3.045	7.2
-3.051	8.0
-3.056	8.8
-3.061	10.8
-3.067	12.8
-3.072	15.2
-3.077	18.0
-3.083	20.8
-3.088	23.2
-3.093	25.2
-3.099	26.0
-3.104	26.4
-3.109	25.6
-3.115	23.6
-3.120	20.8
-3.125	17.6
-3.131	14.8
-3.136	12.4
-3.141	10.0
-3.147	8.4
-3.152	7.2
-3.157	6.4
-3.163	6.4
-3.168	6.8
-3.173	7.6
-3.179	9.2
-3.184	11.2
-3.189	13.6
-3.195	16.0
-3.200	18.8
-3.205	21.6
-3.211	23.6
-3.216	24.8
-3.221	25.2
-3.227	24.4
-3.232	23.2
-3.237	20.8
-3.243	18.4
-3.248	15.6
-3.253	13.2
-3.259	10.8
-3.264	8.8
-3.269	7.2
-3.275	6.4
-3.280	6.0
-3.285	6.0
-3.291	6.4
-3.296	7.6
-3.301	9.2
-3.306	11.6
-3.312	14.4
-3.317	17.6
-3.322	20.4
-3.328	22.4
-3.333	24.0
-3.338	24.0
-3.344	23.2
-3.349	21.6
-3.354	19.2
-3.360	16.4
-3.365	14.0
-3.370	11.6
-3.376	9.6
-3.381	8.0
-3.386	6.4
-3.392	6.0
-3.397	6.0
-3.402	6.4
